"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"60",60,74,180,1.69813313428313,0.333762725349516,16,0.664018379803747,0.0396808063378558,1.15198552375659,2,1.43264909674713
"52",52,103,266,1.7099210771732,0.356189563777298,9,0.872909854818136,0.0703844708623365,1.08226698357612,1,1.37982887925136
"372",372,100,392,1.61491643688641,0.056302971765399,20,0.680241376627237,0.405780774075538,1.01909218123183,1,1.36514920437334
"171",171,100,314,1.25624205409549,0.155092365201563,9,0.931343572773039,0.173704208107665,0.821357476059347,1,1.30412706319331
"203",203,84,340,1.27704035122879,0.148721606191248,18,0.944275691173971,0.184493767097592,0.623945409897715,2,1.3023044878563
"162",162,112,440,1.27498731301166,0.0972150135785341,13,0.944887262489647,0.426112550543621,1.59130658535287,2,1.28102251334338
"34",34,61,428,1.38883930994198,0.0734970818273723,12,0.766884382814169,0.412277575931512,0.677207532804459,2,1.16173979606904
"112",112,12,154,1.51059822435491,0.132395811751485,7,0.659035272337496,0.436487709637731,0.18379066279158,2,1.1168649599237
"380",380,92,466,1.74113277713768,0.110207732953131,4,0.83105813395232,0.072182401898317,0.263383844401687,2,1.10220789488741
"152",152,50,214,1.4741587604396,0.147324138600379,18,0.657446157187223,0.256530630751513,0.36167646991089,1,1.03763865894218
"319",319,119,304,1.73486780826934,0.0854215315543115,5,0.943172716815025,0.466677459073253,0.860166050959378,2,1.03591954534723
"146",146,37,284,1.55944614736363,0.360850103851408,9,0.667159898858517,0.124193988158368,0.310494371224195,2,1.0300922602303
"347",347,41,452,1.27612325409427,0.13577562905848,22,0.819146038871258,0.244901752681471,0.788453927263618,1,1.0215453174131
"113",113,105,358,1.35460262694396,0.144832275342196,9,0.631269404944032,0.210598194506019,0.348986206576228,1,0.980327784688978
"273",273,30,366,1.70471499217674,0.291923955082893,25,0.908514519874007,0.109132121433504,0.935088669881225,2,0.95578698199406
"208",208,12,86,1.73960872418247,0.132570940162987,21,0.831930892542005,0.274941035080701,1.50102276913822,1,0.943963031775574
"288",288,109,344,1.36049160836264,0.100126255117357,14,0.918511075899005,0.396220407448709,0.735254505183548,2,0.909956561232512
"400",400,28,316,1.20408823722973,0.219015221484005,15,0.910913396906108,0.156391576165333,0.164993809536099,1,0.896504894881552
"161",161,80,282,1.6304733526893,0.0990572633221746,11,0.619545346405357,0.266391836805269,1.87009904440492,2,0.884098195633175
"99",99,64,430,1.72766878665425,0.372639910876751,20,0.949104312900454,0.0199392847716808,1.56349670467898,1,0.854103982949112
"393",393,49,474,1.64876231322996,0.143542378116399,4,0.795948852878064,0.205655266414396,1.75983974849805,1,0.806351382129717
"80",80,96,452,1.33294959096238,0.142147908359766,16,0.776369148679078,0.0824511306127533,0.81989946262911,1,0.795027966576873
"378",378,37,350,1.62205100879073,0.104677877388895,10,0.942102385405451,0.333580601145513,1.97010420821607,1,0.751677345678726
"136",136,106,436,1.48837475543842,0.13922546422109,24,0.958162620291114,0.235790844773874,1.04292841767892,2,0.725993497801958
"330",330,38,478,1.55786202759482,0.367157874535769,16,0.655458667594939,0.0743751729605719,0.794317691586912,2,0.680793382234109
"234",234,45,320,1.49592982521281,0.189262319821864,10,0.635124574694782,0.0413476986577734,0.908109763171524,2,0.66891938639048
"41",41,72,436,1.42224163552746,0.0683028099127114,13,0.682111691311002,0.17329027026426,1.53678642259911,2,0.656778092510503
"119",119,48,390,1.38699550861493,0.0445917152799666,25,0.907273847330362,0.461389902280644,0.884449611417949,1,0.643115184685079
"254",254,21,270,1.29780893200077,0.203949065320194,14,0.77093577478081,0.217093215906061,1.26371773704886,2,0.6208907195255
"166",166,26,468,1.31434804480523,0.099681359808892,9,0.822608006373048,0.49670161481481,0.958617675118148,1,0.608821553429202
"19",19,45,336,1.7841322675813,0.000479158945381641,17,0.800119229778647,0.255787310306914,1.44809331838042,2,0.603564727568172
